trait,species,mean,max
Leaf.length,Rumex.hymenosepalus,30,30
Leaf.length,Rumex.obtusifolius,23,23
Leaf.length,Rumex.pulcher,20,20
Leaf.length,Rumex.stenoglottis,16,16
Leaf.length,Rumex.tenax,16,16
Leaf.length,Rytidosperma.auriculatum,10,10
Leaf.length,Rytidosperma.bipartitum,30,30
Leaf.length,Rytidosperma.caespitosum,25,25
Leaf.length,Rytidosperma.carphoides,20,20
Leaf.length,Rytidosperma.duttonianum,20,20
Leaf.length,Rytidosperma.erianthum,25,25
Leaf.length,Rytidosperma.fulvum,30,30
Leaf.length,Rytidosperma.gracile,4.1,4.1
Leaf.length,Rytidosperma.indutum,30,30
Leaf.length,Rytidosperma.laeve,20,20
Leaf.length,Rytidosperma.monticola,15,15
Leaf.length,Rytidosperma.nivicola,10,10
Leaf.length,Rytidosperma.nudiflorum,10,10
Leaf.length,Rytidosperma.penicillatum,15,15
Leaf.length,Rytidosperma.pilosum,12,12
Leaf.length,Rytidosperma.racemosum,15,15
Leaf.length,Rytidosperma.richardsonii,35,35
Leaf.length,Rytidosperma.semiannulare,15,15
Leaf.length,Rytidosperma.setaceum,20,20
Leaf.length,Rytidosperma.tenuius,20,20
Leaf.length,Rytidosperma.unarede,40,40
Leaf.length,Salvia.aethiopis,25,25
Leaf.length,Salvia.coccinea,5,5
Leaf.length,Salvia.leucantha,13,13
Leaf.length,Salvia.microphylla,4,4
Leaf.length,Salvia.plebeia,7,7
Leaf.length,Salvia.reflexa,5,5
Leaf.length,Salvia.splendens,10,10
Leaf.length,Salvia.verbenaca,10,10
Leaf.length,Schoenus.apogon,15,15
Leaf.length,Schoenus.brevifolius,1.5,1.5
Leaf.length,Schoenus.calostachyus,55,55
Leaf.length,Schoenus.calyptratus,4,4
Leaf.length,Schoenus.centralis,15,15
Leaf.length,Schoenus.ericetorum,1.5,1.5
Leaf.length,Schoenus.evansianus,12,12
Leaf.length,Schoenus.imberbis,1,1
Leaf.length,Schoenus.kennyi,1,1
Leaf.length,Schoenus.latelaminatus,11,11
Leaf.length,Schoenus.lepidosperma,0.4,0.4
Leaf.length,Schoenus.maschalinus,3,3
Leaf.length,Schoenus.melanostachys,0.5,0.5
Leaf.length,Schoenus.moorei,18,18
Leaf.length,Schoenus.pachylepis,0.4,0.4
Leaf.length,Schoenus.paludosus,7,7
Leaf.length,Schoenus.scabripes,0.2,0.2
Leaf.length,Schoenus.subaphyllus,2,2
Leaf.length,Schoenus.tesquorum,30,30
Leaf.length,Schoenus.turbinatus,16,16
Leaf.length,Schoenus.vaginatus,1.5,1.5
