species,trait,mean,max
Wahlenbergia.luteola,Leaf.width,4,4
Wahlenbergia.luteola,Max.height,0.8,0.8
Wahlenbergia.multicaulis,Leaf.length,8,8
Wahlenbergia.multicaulis,Leaf.width,6,6
Wahlenbergia.multicaulis,Max.height,0.75,0.75
Wahlenbergia.stricta,Leaf.length,7,7
Wahlenbergia.stricta,Leaf.width,13,13
Wahlenbergia.stricta,Max.height,0.9,0.9
Wurmbea.dioica,Leaf.length,35,35
Wurmbea.dioica,Leaf.width,4,4
Wurmbea.dioica,Max.height,0.3,0.3
